,Baseline Model DSS,Refit Model DSS,Ablation Refit Model DSS
59,-44.514909175459444,-45.41729160122361,-44.04387352379894
60,-85.2965548298256,-85.0901412374132,-84.4372634736597
61,-88.28486953876208,-88.12133155040809,-88.05865473042883
62,-83.97458688061435,-85.78032693320922,-85.33313439941664
63,-55.08956045885719,-54.18219748858632,-56.28321047767417
64,-85.511762132375,-86.14097609720797,-85.20935227824802
65,-62.61446971972754,-65.17064825702312,-64.21215329927067
66,-36.12686603901891,-41.6823975834606,-40.3913149243283
67,-77.68374595471778,-79.19556460730743,-79.33128489917911
68,-78.71395964162791,-77.80510593807848,-78.94025006945017
69,-84.80570225030685,-84.88891993875039,-85.07775358632625
70,-82.09773464043838,-82.32376219945576,-81.50570921833844
71,-61.83883239424998,-68.12124432154083,-64.23033359091757
72,-48.39512634160108,-48.24374569937435,-55.57290505949084
73,-84.70855516181328,-83.69225602356723,-84.01445746909994
74,-54.50829269963444,-66.05922106815555,-64.40776816833275
75,-59.753285967776506,-61.206617741057144,-59.32722953262754
76,-76.32401880797983,-77.65540747056853,-77.85789622899426
77,-82.10694768744781,-82.52937207413976,-81.38152823458813
78,-87.2234231305688,-87.18323588688692,-87.15521741638084
79,-78.00822879380476,-75.81596195411211,-77.43459663715264
80,-88.9518678931259,-89.21786669601266,-88.7171987357145
81,-88.21721391267003,-88.27661135407587,-88.63982676997965
82,-86.16882264299049,-86.65637831837431,-87.04104831655287
83,-63.326629214314195,-62.132509109627435,-63.39763253064163
84,-72.15770461995207,-73.89886507342352,-72.96310035128775
85,-85.63871830463721,-85.88174687465357,-86.41460734508226
86,-75.58987734396604,-77.59323557990224,-75.21203703842448
87,-84.83533742930953,-83.76394152940009,-84.92962964426918
88,-81.38705252105581,-83.10383330097787,-83.59041738070727
89,-87.16337511890171,-86.63212278688032,-86.71062944552102
90,-79.72500350479781,-80.5675015641347,-79.76376479705948
91,-72.89623528453139,-76.03945413259638,-75.07772404714754
92,-87.90960133383518,-88.17327877355177,-88.07694430615584
93,-85.25414300012845,-85.18494127879137,-84.6460262086653
94,-53.41140573247129,-55.68938497452166,-52.38315475603613
95,-88.34104533323098,-87.81954807447286,-87.91926362843562
96,-85.20721191216661,-85.94140563734763,-85.99787381799385
97,-72.64433767533251,-72.62055492111364,-72.53943463287418
98,-70.30018527228948,-67.3389453456621,-67.55263132146148
99,-82.7223634477877,-83.00995621436286,-82.76334353415464
100,-80.40660796051267,-80.43771615742087,-80.36146471090866
101,-78.15851812247041,-79.03714254886765,-78.34108987166344
102,-90.67339268435194,-90.21400507207866,-90.098867234594
103,-82.81466651169283,-83.49125329714519,-83.44177024319511
104,-78.83109340403728,-79.72985546259841,-78.73020169716315
105,-85.67569583563134,-86.27277953060178,-85.90604957386373
106,-89.10247808594788,-88.04155731133781,-88.0261130726546
107,-78.89924294624913,-80.03633281084926,-79.53911364421239
108,-68.99036074678786,-69.09510528038426,-68.63362492186099
109,-85.48211499348587,-86.13674939344727,-85.52283820394433
110,-77.5957175072763,-77.14174004461974,-77.30354842229002
111,-85.58997741947653,-85.19833841628507,-85.65939105054353
112,-83.12936281404066,-84.81649347095599,-84.43732185532136
113,-78.47023262690782,-79.41882634701169,-79.36434397483514
114,-74.4411295718261,-77.6446558145374,-76.59691618251631
115,-74.71734320054753,-74.36335351033901,-75.97311396123574
116,-80.75852744915268,-80.74860933454474,-81.25715514443121
117,-79.08520274470743,-79.50192025146517,-79.07912561256867
118,-86.6119627980605,-86.23887315531324,-86.84357758274199
119,-84.72403744467302,-84.46111137780727,-85.40934101207911
120,-86.54761922296731,-87.65454016391337,-86.41256390883319
121,-75.81204706814239,-75.44630375713312,-76.59950548359234
122,-90.08546380391752,-89.89764747672157,-89.3565908287254
123,-81.34824292011199,-79.80458813978457,-80.84521611642896
124,-58.998787974345866,-58.65021599121822,-59.18333241007609
125,-38.31992569557664,-35.39081599652039,-43.94275676763357
126,-82.52273448212682,-82.19159649951031,-81.39683349868311
127,-76.03151315420381,-73.687832825642,-75.71460665575543
128,-68.25440111396023,-71.02727267050348,-71.63719205246628
129,-80.27575633562259,-82.78373959753334,-81.19724753327414
130,-60.33967044790118,-59.27488676065418,-57.081610085748984
131,-76.25852372029914,-76.85618794842921,-77.91151530918623
132,-73.34272423350197,-78.25008300164225,-76.0533277295154
133,-67.52376829473965,-66.0933504875136,-66.9471390828617
134,-66.15787968994923,-58.169141571998416,-57.593095649755135
135,-85.67941970766418,-85.27581320234535,-85.74850798571691
136,-37.79349678730753,-32.41714418438376,-37.96575718579923
