,Baseline Model VS,Refit Model VS,Ablation Refit Model VS
101,0.18664619326591492,0.17938750982284546,0.17832911014556885
102,0.11214654892683029,0.11900797486305237,0.11814215779304504
103,0.10601957887411118,0.10512322932481766,0.10770437866449356
104,0.14872026443481445,0.14283010363578796,0.14616501331329346
105,0.11890722066164017,0.11811567097902298,0.12018325179815292
106,0.11957050859928131,0.12815788388252258,0.12635479867458344
107,0.16951227188110352,0.1627712994813919,0.16886617243289948
108,0.29728004336357117,0.2924902141094208,0.2944593131542206
109,0.10830415785312653,0.10548290610313416,0.1085946187376976
110,0.1604785919189453,0.15854068100452423,0.15730179846286774
111,0.13584494590759277,0.13788767158985138,0.1374610960483551
112,0.14478692412376404,0.14155566692352295,0.14127372205257416
113,0.17302174866199493,0.1681639552116394,0.16611026227474213
114,0.29018792510032654,0.27262353897094727,0.2794021666049957
115,0.23353925347328186,0.22938711941242218,0.22877168655395508
116,0.1782330572605133,0.17745743691921234,0.17605195939540863
117,0.19900131225585938,0.19796760380268097,0.20072020590305328
118,0.09624378383159637,0.10140106081962585,0.09775804728269577
119,0.1016189232468605,0.1073254942893982,0.10673917084932327
120,0.10033607482910156,0.10522430390119553,0.10748082399368286
121,0.15725524723529816,0.15202459692955017,0.150143563747406
122,0.12114042043685913,0.12800398468971252,0.13194666802883148
123,0.1456327885389328,0.14720769226551056,0.144338458776474
124,0.43678027391433716,0.4309653341770172,0.4286070764064789
125,0.5633569955825806,0.5501297116279602,0.5489931106567383
126,0.14919321238994598,0.14916905760765076,0.1508292406797409
127,0.16781409084796906,0.17031756043434143,0.16788926720619202
128,0.33252063393592834,0.33034735918045044,0.3292985260486603
129,0.17274636030197144,0.16982726752758026,0.1706671565771103
130,0.4135179817676544,0.41496723890304565,0.41982021927833557
131,0.16907097399234772,0.15988652408123016,0.1601569801568985
132,0.24000664055347443,0.22793932259082794,0.22967462241649628
133,0.3916575610637665,0.3920416533946991,0.39626798033714294
134,0.3214617371559143,0.32704612612724304,0.3242407441139221
135,0.09497814625501633,0.10048018395900726,0.09804762154817581
136,0.37849149107933044,0.3657774031162262,0.37205770611763
137,0.6218248009681702,0.6218023300170898,0.6221192479133606
138,0.21401004493236542,0.19913345575332642,0.1994284838438034
139,0.4099085330963135,0.38537976145744324,0.39131709933280945
140,0.16976524889469147,0.16562873125076294,0.1660880446434021
141,0.19385002553462982,0.18320800364017487,0.19076097011566162
142,0.12539751827716827,0.12075826525688171,0.1172030121088028
143,0.10797714442014694,0.10280592739582062,0.10535705089569092
144,0.11849407851696014,0.1171654462814331,0.12030912190675735
145,0.2529434263706207,0.24249497056007385,0.23964926600456238
146,0.11058222502470016,0.11579035222530365,0.11526425927877426
147,0.2551479637622833,0.24017874896526337,0.24127742648124695
148,0.10501551628112793,0.1174011081457138,0.11111321300268173
149,1.2198113203048706,1.1791168451309204,1.1874399185180664
150,0.7611579298973083,0.7323938608169556,0.7369181513786316
151,0.18463227152824402,0.17716839909553528,0.175801083445549
152,0.20512348413467407,0.20045597851276398,0.1938517689704895
153,0.28707024455070496,0.2740778923034668,0.2777610719203949
154,0.30873799324035645,0.3125891089439392,0.31566569209098816
155,0.2308288961648941,0.2287466824054718,0.2247312217950821
156,0.10911154747009277,0.11064960807561874,0.11354715377092361
157,0.2054145634174347,0.20769110321998596,0.20755919814109802
158,0.12314577400684357,0.12335015833377838,0.12393568456172943
159,0.12368113547563553,0.11928438395261765,0.12375398725271225
160,0.11058118939399719,0.11219377815723419,0.11739027500152588
161,0.23261484503746033,0.2278784215450287,0.2309887409210205
162,0.4172089695930481,0.388285756111145,0.3916633427143097
163,0.15448081493377686,0.15378420054912567,0.16112861037254333
164,0.09593351930379868,0.09473611414432526,0.09437934309244156
165,0.6039959192276001,0.5739516019821167,0.5880917310714722
166,0.3277634084224701,0.3219089210033417,0.3279033899307251
167,0.23790685832500458,0.23111934959888458,0.23385876417160034
168,0.10370286554098129,0.10372292995452881,0.1044364720582962
169,0.16963733732700348,0.16199186444282532,0.1595209836959839
170,0.14156924188137054,0.14607661962509155,0.1426870971918106
171,0.10335838794708252,0.10301131010055542,0.10323920845985413
172,0.12307775765657425,0.12463758885860443,0.12571142613887787
173,0.14756926894187927,0.14491522312164307,0.14313462376594543
174,0.17083635926246643,0.1656724512577057,0.1683276742696762
175,0.11454112082719803,0.11523517221212387,0.11915978044271469
176,0.23678618669509888,0.2326032519340515,0.2274284064769745
177,0.11861035972833633,0.10855192691087723,0.10613870620727539
178,0.1262911856174469,0.12140503525733948,0.1253887116909027
179,0.11230858415365219,0.11394130438566208,0.11630713194608688
180,0.17631660401821136,0.160342738032341,0.16564591228961945
181,0.2317289412021637,0.21915575861930847,0.21754775941371918
182,0.314151793718338,0.31987473368644714,0.3162379860877991
183,0.1553555727005005,0.1578471064567566,0.15443609654903412
184,0.22567376494407654,0.2170412540435791,0.2110481709241867
185,0.13499857485294342,0.13961564004421234,0.14168748259544373
186,0.12996405363082886,0.1344633400440216,0.1297598034143448
187,0.24650852382183075,0.2540954351425171,0.2533724308013916
188,0.15658418834209442,0.15880991518497467,0.15788735449314117
189,0.27563077211380005,0.2702026069164276,0.270478218793869
190,0.1304468959569931,0.1355876922607422,0.13401862978935242
191,0.15683487057685852,0.15590007603168488,0.15480856597423553
192,0.17320497334003448,0.17929378151893616,0.17805521190166473
193,0.10678258538246155,0.10734397172927856,0.10769720375537872
194,0.8734768629074097,0.8546395897865295,0.8604638576507568
195,0.41205328702926636,0.392715722322464,0.3921678364276886
196,0.4490847885608673,0.42777538299560547,0.42583590745925903
197,0.12809915840625763,0.13669456541538239,0.14344029128551483
198,0.2077374905347824,0.2023320347070694,0.1972518414258957
199,0.29972532391548157,0.2987031042575836,0.296581506729126
200,0.14004503190517426,0.14081762731075287,0.14307090640068054
201,0.4082617461681366,0.3912332355976105,0.3956236243247986
202,1.2220174074172974,1.187853455543518,1.1743775606155396
203,0.17965663969516754,0.1771395355463028,0.17329226434230804
204,0.5640247464179993,0.5299533009529114,0.5244998931884766
205,0.4938167929649353,0.4670264720916748,0.46190330386161804
206,0.20912598073482513,0.20457370579242706,0.20913776755332947
207,0.16881559789180756,0.17394286394119263,0.17747245728969574
208,0.14542880654335022,0.13783037662506104,0.13709458708763123
209,0.2619967758655548,0.258384644985199,0.2557986080646515
210,0.37225937843322754,0.36587759852409363,0.3636399507522583
211,0.11212993413209915,0.11223240941762924,0.11429877579212189
212,0.10034776479005814,0.0993543341755867,0.09928490966558456
213,0.11024495959281921,0.11760812997817993,0.12263676524162292
214,0.15721507370471954,0.15552587807178497,0.15558457374572754
215,0.08019024133682251,0.08405016362667084,0.09040351212024689
216,0.11829221993684769,0.12012288719415665,0.12491170316934586
217,0.14453136920928955,0.13971595466136932,0.14052706956863403
218,0.16520600020885468,0.16533604264259338,0.16347835958003998
219,0.11135752499103546,0.11091134697198868,0.11648914963006973
220,0.1085238978266716,0.11259526014328003,0.1115429624915123
221,0.17579150199890137,0.16702036559581757,0.16736045479774475
222,0.10766558349132538,0.1034151166677475,0.10556109994649887
223,0.23328089714050293,0.23828953504562378,0.25570183992385864
224,0.16181465983390808,0.1616882085800171,0.1646760255098343
225,0.08868277072906494,0.08503050357103348,0.08547955006361008
226,0.12390504777431488,0.1268090009689331,0.12341436743736267
227,0.09235849231481552,0.08921736478805542,0.08975701779127121
228,0.10403817892074585,0.09762562066316605,0.09522146731615067
229,0.11988941580057144,0.12107782065868378,0.12297005951404572
230,0.1174626424908638,0.1143212616443634,0.12650026381015778
231,0.11421230435371399,0.11564664542675018,0.12314514815807343
232,0.2902548015117645,0.2779214084148407,0.2720588445663452
233,0.14044001698493958,0.13238884508609772,0.1336842179298401
234,0.4021640121936798,0.38764652609825134,0.3846566677093506
235,0.12045736610889435,0.1252891719341278,0.1322494000196457
236,0.12314366549253464,0.11674504727125168,0.1254195272922516
237,0.11655398458242416,0.12165424227714539,0.1227145791053772
238,0.1446889489889145,0.14767315983772278,0.14658181369304657
239,0.15518225729465485,0.15849195420742035,0.1581689715385437
240,0.12371619045734406,0.13316069543361664,0.1312030553817749
241,0.09546077251434326,0.10467047244310379,0.09640701860189438
242,0.25382688641548157,0.27027958631515503,0.26334527134895325
243,0.14211618900299072,0.15154598653316498,0.1449854075908661
244,0.15555313229560852,0.16726729273796082,0.16486629843711853
