,Baseline Model DSS,Refit Model DSS,Ablation Refit Model DSS
101,-77.87931412493526,-78.3033872304875,-79.34007363612325
102,-90.67063480609949,-90.48667154248183,-90.97125189745556
103,-83.48806633924713,-81.94897578446857,-81.18295087595719
104,-78.59228694058214,-78.98689443182606,-79.74721798990096
105,-85.69309465265779,-85.3452778702815,-86.97448192051644
106,-88.81559185416481,-88.76723489262056,-89.61444038872594
107,-79.70191287473136,-79.34518794579435,-78.79733559833574
108,-70.67210307763555,-68.85521975642632,-63.599192545449164
109,-85.18683213095234,-85.81907336986221,-86.2721784301776
110,-79.53083474777,-78.38238749224362,-77.8065360050786
111,-84.617201950557,-85.639344038319,-85.01931675849916
112,-84.05406049695527,-83.89300769955261,-83.7115229769269
113,-78.7857358935931,-78.04573632876784,-79.38933963252086
114,-76.8453222857389,-76.323200232615,-76.95673297550117
115,-73.18643161359411,-74.3212095534598,-74.12134341164331
116,-80.58328681828246,-80.41854390179546,-80.77586877762654
117,-78.48947946821865,-79.02995681201395,-79.95282727163314
118,-86.45624198163678,-86.48698180177642,-87.30255187046399
119,-84.39598719932408,-85.54217252873345,-86.00293320976984
120,-86.03876035984126,-87.07711613943974,-86.16681267901818
121,-76.38397222686208,-76.24975927874489,-74.82868428257524
122,-89.36243973496563,-89.88792548608886,-89.25582132855631
123,-79.76175437475375,-79.48203218990935,-80.29437511313556
124,-55.672797262557324,-62.750559599183845,-55.531259330055605
125,-34.472770130497274,-42.17217697909529,-38.8498590951535
126,-82.52604149694399,-82.52970001812237,-82.58601367113135
127,-74.01121796445834,-73.39048196450727,-75.4502524800444
128,-69.94429428695588,-70.87908455807626,-72.44081094980075
129,-80.71540843245978,-82.78112620706615,-81.89277946370242
130,-59.920533403427,-58.820380165173475,-61.32535283051328
131,-78.88915035183798,-77.98474967225317,-78.42691450615472
132,-76.88114512116766,-76.7269096686801,-76.32541017063505
133,-65.13777732329268,-63.29486111955379,-66.50373301829266
134,-64.8591904717481,-60.89620662392256,-60.85768234195463
135,-86.13360052562084,-85.53486151180009,-85.58877271526853
136,-35.86406237414339,-37.890939252143994,-42.09937556667255
137,7.520848995663215,-0.013937512250095097,-2.481308098168782
138,-72.81038338806717,-70.92958952384124,-72.18244030377916
139,-67.5712252494902,-69.13945228185659,-64.94256041890903
140,-78.15810961061214,-79.25688921973878,-79.55764317497568
141,-71.18714900903036,-70.85171944987687,-69.06265525213038
142,-81.59472462270536,-83.63455735312533,-83.83644475889571
143,-84.99328090364445,-86.40582226337754,-86.32594512490229
144,-79.18933850617613,-79.89795460546405,-79.97397521791663
145,-70.48699356135211,-72.0440496745345,-70.80421407310428
146,-78.53091659475223,-78.3853414792189,-79.60411893848948
147,-71.67525117499491,-71.55982411412933,-70.19405300164746
148,-71.36290518008522,-70.48699366126058,-72.81144286631346
149,38.57849825956514,45.12922905025418,21.409972858517094
150,-18.251861714421807,-25.09784255612385,-23.133801267442635
151,-81.39694022696328,-82.64515485236805,-82.02133265308682
152,-81.4045020811038,-83.05960708939556,-82.2796269226399
153,-73.64816434017979,-77.90976674607626,-76.56456523847177
154,-73.60006069611896,-74.20483391701086,-73.34055424700877
155,-64.42894574718191,-63.372428650448256,-63.30509234345736
156,-88.05312902141088,-88.30822290474946,-88.17022984263629
157,-77.74826881564775,-77.47772160892373,-78.10816231691972
158,-78.6847291830425,-77.2114422124623,-77.99917904406823
159,-83.93827165749134,-84.58539492273268,-84.39514937895578
160,-88.21700486157155,-88.4357620951352,-88.14031100565313
161,-75.42240274399745,-76.48544036511258,-77.52369101674039
162,-65.91119066321295,-68.01566407105211,-64.93776641923922
163,-80.42279212691918,-80.95883147349096,-81.32164598251917
164,-87.03718167060691,-86.26276589348373,-86.46792195406255
165,-45.4857112124254,-39.33430201984598,-50.48185403614682
166,-57.49938764322075,-57.132355534478954,-54.22235691786802
167,-72.02875340516226,-71.15129410322888,-70.71164472892804
168,-84.25606312982539,-84.09435630145265,-84.09684391210115
169,-80.14494068257294,-81.26101370384465,-81.74216293655111
170,-82.68847010405082,-82.99957019188186,-82.63728635923066
171,-85.50841537352548,-85.43185912227337,-85.18112030802658
172,-87.83418865293864,-87.39223245484645,-86.91772706742948
173,-83.59590131404366,-83.76144500760245,-84.15890515461973
174,-82.30895639458394,-83.91920887758788,-83.45460039065175
175,-88.22975482936111,-88.17526434332653,-88.38965270224699
176,-75.07534935275275,-77.78721385495885,-77.13436512181642
177,-84.59680561193017,-84.97924833689233,-84.8667774890452
178,-79.70281017309009,-79.75172116891855,-79.80588515556009
179,-82.0468399141259,-81.60068864625433,-81.96863222574342
180,-76.80886248679133,-78.1496515296444,-78.2653149424498
181,-75.28203446163683,-75.71037861878301,-73.45661710535626
182,-61.21216640852505,-62.13819658041555,-59.495529107831004
183,-76.14637000328736,-75.44891232512282,-75.28855349645316
184,-71.77276915562985,-73.76412174481302,-71.30078405676876
185,-89.4957994688255,-88.93442104062554,-88.72341462710722
186,-84.55598378688661,-84.09493732077084,-83.95909366501812
187,-71.20391816058068,-71.17236263548324,-72.92562410436949
188,-82.54534150564946,-81.50477532574338,-82.58758329726777
189,-69.82393804185287,-69.35225010135682,-70.20323075357736
190,-89.19652111397365,-89.17024403468706,-88.83351525801461
191,-78.33590856325337,-76.68638199280812,-77.6417290523673
192,-75.57188548876074,-75.58407428676557,-76.62116643701131
193,-84.2277344830614,-82.33309027730404,-82.27594533658666
194,44.01807565957843,23.79872757133576,28.09614569799693
195,-59.04873879403102,-51.49860481609493,-55.65710296861644
196,-53.39926163913981,-52.220277320473805,-56.46208343534199
197,-88.02633683892857,-87.5681692464227,-87.21030565406386
198,-72.59873760299409,-71.44706852049667,-74.02493091169075
199,-70.51700360486528,-69.79229162204477,-71.36708525868276
200,-80.95946236434058,-82.74807566531595,-81.78725525694423
201,-57.24657889708748,-61.35061937306382,-58.78627800740178
202,62.34758274992319,52.084059297891486,45.91404919808042
203,-81.51161205652633,-81.58290729198504,-80.63655102147953
204,-58.37479212473105,-63.339634195797615,-61.99202572628097
205,-57.19322423637935,-58.279271611430985,-59.71200941974335
206,-73.72207242017551,-75.85111930906785,-76.22384961600353
207,-80.81346358730929,-81.66480092219915,-82.31893443045954
208,-79.33158636908935,-79.83962466229151,-81.43479167385277
209,-70.80226019234134,-69.17120971983097,-71.73644131624808
210,-69.16607129214658,-68.57280715759806,-69.37952337671707
211,-84.42371748143127,-84.13917459108966,-84.22987441228366
212,-85.08589242435326,-85.70421288917723,-85.88021814983463
213,-88.58838041024839,-88.06146088305778,-87.91342350607718
214,-74.1207692465562,-73.32602597857681,-74.86319923974567
215,-87.98081130194484,-86.31305327111545,-87.23917703908184
216,-86.16317463806554,-87.42011116285954,-86.24722144155886
217,-77.19037801720489,-79.02804558436667,-79.71264214619652
218,-76.00784292672265,-76.33793268229067,-77.74260243527378
219,-85.0944307491786,-84.13759935309378,-84.69529036498152
220,-86.21656537800956,-86.48045255985612,-85.64733396973034
221,-77.6845591351663,-78.25846723511731,-80.31652006962241
222,-86.06536427695977,-87.32103448632105,-86.45019052963943
223,-91.4805042507827,-90.88382686260557,-90.56924542710271
224,-83.37743979990033,-82.36910953925471,-83.23388424964745
225,-86.98991259659655,-87.12808336728872,-87.36495016305716
226,-77.8725737799207,-78.47875288949244,-79.4887931951149
227,-87.5108075610065,-87.4566287171424,-87.83937504341957
228,-84.93858460275779,-83.34398580375216,-85.0229287638387
229,-89.35698826944902,-88.88774690889308,-88.90763447526477
230,-88.4377763712104,-88.34036641243088,-88.14805437936131
231,-88.2755174941617,-88.45813339758973,-88.07107130383432
232,-71.83687028953258,-73.535988251631,-72.00560817956092
233,-84.16528366770153,-84.5364813728028,-84.80405948274903
234,-57.878441553241636,-61.75373088646982,-64.21424846425668
235,-84.39160562821652,-85.20902861794886,-83.94567935397089
236,-87.89345043211745,-86.971179251497,-87.62013291513102
237,-81.32983203838185,-82.69878403948948,-82.23941473989214
238,-82.14350689955562,-80.42424594132714,-80.60073442218197
239,-84.29719140225815,-83.25752063334714,-83.87760028165103
240,-89.68590752359191,-89.58279584301376,-89.49986518083718
241,-87.57010127847762,-87.65389221615648,-87.58478770988302
242,-91.65385577872858,-91.1331575624044,-91.50556702247864
243,-89.122669965317,-88.92984007011724,-89.15464850548544
244,-90.48677459068415,-90.32706231720151,-90.44257196310662
